track_id,popularity,duration_ms,explicit,danceability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,liveness,valence,mode,key,time_signature
5SuOikwiRyPMVoIQDJUgSV,73,230666,False,0.676,0.461,-6.746,87.917,0.143,0.0322,1.01e-06,0.358,0.715,0,1,4
4qPNDBW1i3p13qLCt0Ki3A,55,149610,False,0.42,0.166,-17.235,77.489,0.0763,0.924,5.56e-06,0.101,0.267,1,1,4
1iJBSr7s7jYXzM8EGcbK5b,57,210826,False,0.438,0.359,-9.734,76.332,0.0557,0.21,0.0,0.117,0.12,1,0,4
6lfxq3CG4xtTiEg7opyCyx,71,201933,False,0.266,0.0596,-18.515,181.74,0.0363,0.905,7.07e-05,0.132,0.143,1,0,3
5vjLSffimiIP26QG5WcN2K,82,198853,False,0.618,0.443,-9.681,119.949,0.0526,0.469,0.0,0.0829,0.167,1,2,4
01MVOl9KtVTNfFiBU9I7dc,58,214240,False,0.688,0.481,-8.807,98.017,0.105,0.289,0.0,0.189,0.666,1,6,4
6Vc5wAMmXdKIAM7WUoEb7N,74,229400,False,0.407,0.147,-8.822,141.284,0.0355,0.857,2.89e-06,0.0913,0.0765,1,2,3
1EzrEOXmMH3G43AXT1y7pA,80,242946,False,0.703,0.444,-9.331,150.96,0.0417,0.559,0.0,0.0973,0.712,1,11,4
0IktbUcnAGrvD03AWnz3Q8,74,189613,False,0.625,0.414,-8.7,130.088,0.0369,0.294,0.0,0.151,0.669,1,0,4
7k9GuJYLp2AzqokyEdwEw2,56,205594,False,0.442,0.632,-6.77,78.899,0.0295,0.426,0.00419,0.0735,0.196,1,1,4
4mzP5mHkRvGxdhdGdAH7EJ,74,244800,False,0.627,0.363,-8.127,99.905,0.0291,0.279,0.0,0.0928,0.301,1,8,4
5ivF4eQBqJiVL5IAE9jRyl,69,240165,False,0.483,0.303,-10.058,133.406,0.0429,0.694,0.0,0.115,0.139,1,4,3
4ptDJbJl35d7gQfeNteBwp,52,198712,False,0.489,0.314,-9.245,124.234,0.0331,0.749,0.0,0.113,0.607,0,7,4
0X9MxHR1rTkEHDjp95F2OO,62,248448,False,0.691,0.234,-6.441,87.103,0.0285,0.777,0.0,0.12,0.209,1,3,4
4LbWtBkN82ZRhz9jqzgrb3,56,188133,False,0.755,0.78,-6.084,120.004,0.0327,0.124,2.83e-05,0.121,0.387,1,2,4
1KHdq8NK9QxnGjdXb55NiG,58,244986,False,0.489,0.561,-7.933,83.457,0.0274,0.2,4.56e-05,0.179,0.238,1,4,3
6xKeQgzfjixSUld14qUezm,56,129750,False,0.706,0.112,-18.098,110.154,0.0391,0.827,4.03e-06,0.125,0.414,1,2,4
4Yo0igmcoNyat1secaH0OD,54,169728,False,0.795,0.0841,-18.09,91.803,0.0461,0.742,1.17e-05,0.0853,0.609,0,10,4
2qLMf6TuEC3ruGJg4SMMN6,68,189613,False,0.625,0.414,-8.7,130.088,0.0369,0.294,0.0,0.151,0.669,1,0,4
6CgNoAbFJ4Q4Id4EjtbXlC,67,260186,False,0.717,0.32,-8.393,107.946,0.0283,0.83,0.0,0.107,0.322,1,3,4
3S0OXQeoh0w6AY8WQVckRW,75,242946,False,0.703,0.444,-9.331,150.96,0.0417,0.559,0.0,0.0973,0.712,1,11,4
210JCw2LbYD4YIs8GiZ9iP,63,174174,False,0.678,0.351,-8.654,90.032,0.0266,0.747,0.0,0.355,0.569,1,0,4
5TvE3pk05pyFIGdSY9j4DJ,70,229400,False,0.407,0.147,-8.822,141.284,0.0355,0.857,2.89e-06,0.0913,0.0765,1,2,3
0BUuuEvNa5T4lMaewyiudB,0,216386,False,0.572,0.454,-10.286,140.182,0.0258,0.477,1.37e-05,0.0974,0.515,1,3,4
3Hn3LfhrQOaKihdCibJsTs,0,231266,False,0.796,0.667,-4.831,97.988,0.0392,0.381,0.0,0.221,0.754,0,5,4
6D33wCKzWtNEgOovgeVJ7r,1,302346,False,0.755,0.454,-9.609,120.06,0.0352,0.757,0.0,0.236,0.33,0,9,4
5IfCZDRXZrqZSm8AwE44PG,0,131760,False,0.62,0.309,-9.209,145.363,0.0495,0.788,0.0,0.146,0.664,1,5,4
0dzKBptH2P5j5a0MifBMwM,0,273653,False,0.633,0.429,-6.784,143.793,0.0381,0.0444,0.0,0.132,0.52,0,4,4
5QAMZTM5cmLg3fHX9ZbTZi,0,131760,False,0.62,0.309,-9.209,145.363,0.0495,0.788,0.0,0.146,0.664,1,5,4
2qESE1ZeWly7I3YjyTXmXh,0,131760,False,0.62,0.309,-9.209,145.363,0.0495,0.788,0.0,0.146,0.664,1,5,4
3EQV1ZHtHvq9OnVRYIdbg3,0,131760,False,0.62,0.309,-9.209,145.363,0.0495,0.788,0.0,0.146,0.664,1,5,4
3ax0rfGb7exLtl02LL08U9,0,131760,False,0.62,0.309,-9.209,145.363,0.0495,0.788,0.0,0.146,0.664,1,5,4
1m5LC29RE52Bxy7hxvpOlL,0,234186,False,0.593,0.455,-8.192,202.019,0.0388,0.366,0.0,0.0914,0.564,1,6,4
3H36x7buZdQD4687VmFrwY,0,259558,False,0.296,0.206,-11.799,165.4,0.0412,0.782,0.000225,0.0959,0.202,1,0,4
0xbMRcMFqxJq1Wa7tvWPtn,0,259558,False,0.296,0.206,-11.799,165.4,0.0412,0.782,0.000225,0.0959,0.202,1,0,4
6h061f44HZPj1OXO2nA45d,0,259558,False,0.296,0.206,-11.799,165.4,0.0412,0.782,0.000225,0.0959,0.202,1,0,4
62EwQLDw0dprDzuLwQ0sH1,0,257493,False,0.409,0.153,-10.74,85.262,0.0306,0.939,2.56e-05,0.108,0.18,0,6,4
3lvo0I8c2qBJDLZWqExDgC,0,247791,False,0.501,0.0952,-12.931,138.016,0.054,0.963,1.58e-05,0.0915,0.316,1,2,4
1ae8XfBQ3fDEvmBjFaemGV,0,206267,False,0.606,0.326,-10.031,91.626,0.0294,0.841,0.0,0.139,0.414,1,10,4
0adVktNVJXPZfhQe6B1NO5,0,257493,False,0.409,0.153,-10.74,85.262,0.0306,0.939,2.56e-05,0.108,0.18,0,6,4
6sp6Vx3sv2l5qxPfbQkcyt,0,306794,False,0.474,0.519,-5.291,151.832,0.0253,0.281,0.0,0.107,0.326,1,7,4
1WFVfVjCtbmdIv7j3Fa9iy,0,266960,False,0.568,0.301,-10.163,88.029,0.0373,0.796,3.37e-06,0.118,0.142,0,10,4
0e5PAxSyZ5DWWVqKANHETz,0,230098,False,0.568,0.686,-6.635,172.075,0.033,0.15,1.81e-06,0.0881,0.725,1,1,4
1MLr9b1fOybO3MGiLy47Ys,0,230098,False,0.568,0.686,-6.635,172.075,0.033,0.15,1.81e-06,0.0881,0.725,1,1,4
6JGjevTaqr9J1xp7YvYUKF,0,193943,False,0.476,0.666,-3.438,148.155,0.0446,0.314,0.0,0.342,0.498,1,6,4
7Af2YlwMZryKOQiRfwMsD2,0,230098,False,0.568,0.686,-6.635,172.075,0.033,0.15,1.81e-06,0.0881,0.725,1,1,4
3RE5nHIVkC4KcA7snFaTKd,0,230098,False,0.568,0.686,-6.635,172.075,0.033,0.15,1.81e-06,0.0881,0.725,1,1,4
0JvkNRyq8Tmot9khpdtN0I,0,230098,False,0.568,0.686,-6.635,172.075,0.033,0.15,1.81e-06,0.0881,0.725,1,1,4
27gHtbsHClwimHFtKgFop4,0,230098,False,0.568,0.686,-6.635,172.075,0.033,0.15,1.81e-06,0.0881,0.725,1,1,4
1QBNBGeIRRGBnLhdlHbfI8,0,230098,False,0.568,0.686,-6.635,172.075,0.033,0.15,1.81e-06,0.0881,0.725,1,1,4
72xTsTouZ5nBmASX8k1XCW,46,213098,False,0.596,0.2,-10.424,107.893,0.0305,0.91,0.000183,0.0884,0.308,0,0,4
3ILmwMefYZoQh5Cf5jeuUQ,61,232360,False,0.373,0.914,-4.185,168.21,0.0565,0.076,0.0,0.669,0.56,1,0,4
2DHDuADAHoUW6n0z80RLQF,60,241119,False,0.494,0.652,-5.863,137.018,0.0314,0.0754,0.00256,0.125,0.298,0,6,4
5JDcQAztvZTIkrWoZihgvC,68,220239,False,0.447,0.393,-8.65,73.139,0.038,0.785,0.0,0.28,0.564,1,5,3
