album_id,album_name,artist_id
1,Comedy,1
2,Ghost (Acoustic),2
3,To Begin Again,3
4,Crazy Rich Asians (Original Motion Picture Soundtrack),4
5,Hold On,5
6,Days I Will Remember,6
7,Is There Anybody Out There?,7
8,We Sing. We Dance. We Steal Things.,8
9,We Sing. We Dance. We Steal Things.,9
10,Hunger,10
11,Episode,11
12,Love Is a Four Letter Word,8
13,Solo,12
14,Bad Liar,13
15,Hold On (Remix),14
16,The Boy Who Never,15
17,ily (i love you baby),16
18,At My Worst,16
19,"Cover Sessions, Vol. 4",17
20,"Cover Sessions, Vol. 3",18
21,Is There Anybody Out There? - Track by Track Commentary,7
22,Coffee Moment,8
23,Human - Best Adult Pop Tunes,8
24,Mellow Adult Pop,8
25,Holly Jolly Christmas,8
26,Feeling Good - Adult Pop Favorites,8
27,Christmas Time,8
28,Perfect Christmas Hits,8
29,Merry Christmas,8
30,Christmas Music - Holiday Hits,8
31,Christmas Country Songs 2022,5
32,Human - Best Adult Pop Tunes,19
33,Feeling Good - Adult Pop Favorites,19
34,Mellow Bars R'n'B,19
35,Chill Christmas Dinner,20
36,rainy day indie,21
37,Coffee Moment,21
38,sadsadchristmas,20
39,Mega Hits Autumn/Fall 2022,22
40,Mellow Adult Pop,21
41,Country Car Hits,23
42,Country Road Songs,23
43,Finest Country,21
44,Easy Country,23
45,Cozy Country,23
46,Good Times Country,23
47,Laidback Country,23
48,Chillin' It - Mellow Day Country,23
49,Trampoline (Acoustic),24
50,Documentary,25
51,Black Bear,26
52,The Bedroom Demos,27
53,So Far Away (Acoustic),28
54,Build It Better,29
55,Sleepwalking in the Rain,5
56,Little Voice,30
57,What's Left of You,5
58,Pano,11
59,The Daylight EP,26
60,Montage Of Heck: The Home Recordings,31
61,"Cover Sessions, Vol. 3",17
62,Covers,32
63,Midnight Waves,33
64,Making All Things New,34
65,What's Inside: Songs from Waitress,30
66,In My Veins (Feat. Erin Mccarley),26
67,Under Covers,35
68,Whatever It Takes,27
69,America Town,36
70,Dive Deep,26
71,You're Still The One,37
72,It Doesn't Have To Make Sense,38
73,When the Morning Comes,39
74,"Eat, Pray, Love",40
75,Good Light,41
76,Know.,8
77,Mellow Adult Pop,42
78,Break Up Songs,42
79,Into The Wild (Music For The Motion Picture),22
80,u don't deserve me,42
81,Coffee Moment,42
82,The Blessed Unrest,30
83,Slow Christmas Songs 2022,20
84,Lonely Christmas 2022,20
85,Bookmarks,36
86,Slow Christmas Songs 2022,43
87,Alternative Christmas 2022,43
88,Alternative Christmas 2022,20
89,Acoustic Christmas Campfire,43
90,Lonely Christmas 2022,43
91,Chill Christmas Dinner,43
92,sadsadchristmas,43
93,Christmas Country Songs 2022,43
94,Del gusto de mamá,20
95,OO's Music Grandi Successi,20
96,言ノ葉,25
97,Somebody Else (Acoustic),44
98,Black Bear (Hushed),26
99,"Cover Sessions, Vol. 3",45
100,Stand by Me,46
101,Dear Happy,47
102,chouchou,48
103,You’re Beautiful (Acoustic),49
104,Hikare Inochi,50
105,Songs From Nashville,35
106,"Cover Sessions, Vol. 6",46
107,Dive Deep (Hushed),26
108,When the Party's over (Acoustic Piano),2
109,All The Stars and Boulevards,51
110,Living in the Shadows,52
111,"Cover Sessions, Vol. 4",46
112,death bed (coffee for your head),16
113,You Are My Sunshine,4
114,I Won't Give Up,8
115,I Was Born To Love You,53
116,Life Sucks Playlist,54
117,Hurricane Glass,55
118,Where The Mountain Meets The Valley,56
